Date,Location,Series_Complete_Cumulative
11/26/2021,KS,1594649
01/10/2021,PA,38891
01/11/2021,WY,2486
03/21/2021,AS,12041
07/12/2021,ID,670035
11/04/2021,UT,1757849
12/08/2021,RP,15839
06/21/2021,SC,1984559
11/29/2021,PA,7527090
03/01/2021,MT,109037
10/23/2021,NM,1304532
12/24/2020,HI,91
12/14/2021,OK,2085687
01/04/2021,WY,75
07/21/2021,MO,2577555
01/13/2021,CA,266130
05/30/2021,UT,1250013
01/14/2021,AS,772
01/20/2021,UT,23928
10/25/2021,GU,121646
07/03/2021,VI,37766
02/04/2021,MP,3707
04/13/2021,WA,2050329
05/22/2021,AK,303701
11/11/2021,VA,5490329
02/05/2021,MP,3943
02/24/2021,GA,652222
11/07/2021,MA,4840822
01/12/2021,OK,34046
08/31/2021,SC,2269854
01/18/2021,HI,17621
05/29/2021,NV,1176528
06/05/2021,NC,4283654
01/14/2021,OR,22719
04/22/2021,IN,1791701
08/27/2021,PR,2171472
06/08/2021,OH,5028347
07/26/2021,CT,2277167
11/05/2021,SD,475028
04/29/2021,NH,494726
01/04/2021,MS,853
01/25/2021,DC,7928
03/17/2021,SD,159077
03/20/2021,NY,2954014
11/16/2021,SD,479108
10/29/2021,GU,122219
11/04/2021,SD,474326
05/02/2021,MN,2201488
03/20/2021,NM,442659
09/04/2021,AZ,3623892
11/30/2021,NH,885961
03/01/2021,MA,595982
05/26/2021,AZ,2882140
07/27/2021,MI,4911672
08/21/2021,NM,1201606
01/22/2021,MT,18112
07/26/2021,HI,763393
10/16/2021,SC,2542912
06/22/2021,UT,1371197
09/20/2021,LA,2109953
05/25/2021,IN,2555486
11/11/2021,ID,800133
08/17/2021,AL,1804936
03/11/2021,HI,223558
02/17/2021,AL,206308
12/14/2021,MT,567395
05/06/2021,GU,68030
08/21/2021,NV,1453257
07/18/2021,IA,1573415
10/08/2021,ME,938628
11/17/2021,CO,3624197
02/08/2021,WY,23896
06/12/2021,WY,203887
07/25/2021,FM,29375
04/08/2021,MH,11321
08/04/2021,WA,4342656
09/01/2021,SC,2277445
04/13/2021,PR,921429
07/15/2021,PR,2023190
08/22/2021,WY,226981
10/08/2021,GA,4912518
09/26/2021,MI,5243643
03/07/2021,CO,686109
04/27/2021,TX,8285101
05/05/2021,WV,928855
12/31/2020,AZ,1012
01/29/2021,AL,64527
02/24/2021,MH,3305
02/22/2021,NY,1514874
04/06/2021,FL,4446298
09/08/2021,WV,1127580
09/08/2021,NJ,5610718
06/04/2021,AS,19882
05/11/2021,HI,607350
06/29/2021,VA,4585591
09/21/2021,FM,38058
03/07/2021,VT,74574
05/13/2021,SD,365268
11/15/2021,NM,1325368
05/25/2021,OK,1437536
07/16/2021,OK,1602634
10/17/2021,AR,1446092
10/17/2021,NE,1084506
03/18/2021,UT,415280
01/01/2021,MS,437
04/29/2021,MN,2145458
10/10/2021,AL,2163455
04/29/2021,HI,556291
05/30/2021,OR,2029548
12/23/2020,VI,0
02/25/2021,RI,79271
01/06/2021,RI,1171
04/07/2021,MS,604741
06/17/2021,NE,918908
12/13/2021,US,201269443
01/12/2021,NH,6457
02/05/2021,MA,213285
08/20/2021,OK,1718563
12/05/2021,VT,464844
08/02/2021,PA,6594259
02/02/2021,SC,107725
02/06/2021,NM,120879
03/22/2021,MD,932270
03/29/2021,NE,390091
03/12/2021,MO,704260
11/20/2021,RI,766428
12/09/2021,NE,1136187
10/27/2021,AR,1460185
12/12/2021,NC,5833881
03/28/2021,OK,774968
05/18/2021,MP,21246
01/17/2021,NH,8979
06/30/2021,ME,850659
03/18/2021,GA,1098948
12/19/2020,TN,871
12/04/2021,TN,3421011
07/14/2021,MT,476335
09/09/2021,FM,36098
02/20/2021,IL,711472
02/26/2021,WI,536242
04/09/2021,ME,403733
12/18/2020,AS,0
12/25/2020,AR,177
09/20/2021,VI,48243
04/13/2021,IN,1567224
09/01/2021,ID,714951
12/30/2020,OK,189
